Pop04;PopChange;MedAge;MedIncome;MedHVal;MedRent;Unemployment;CostOfLiving;HispRate;AsianRate;BlackRate;AmerIndRate;LandArea;URL;CrawledTime;DbId;Year;TrueURL;City;Spalte1
20318;-9.6;44.8;43566;92807;552;6.7;93.6;1.2;0.4;10.8;0.07;14.2 ;http://web.archive.org/web/20130511093005/http://www.city-data.com/city/West-Mifflin-Pennsylvania.html;18.12.2016 22:40;261;2014;http://www.city-data.com/city/West-Mifflin-Pennsylvania.html;WEST MIFFLIN, PA;WEST MIFFLIN, PA2014
6354;0.0;48.4;40928;204303;688;2.1;93.8;11.3;1.1;0.7;0.0;11.5 ;http://web.archive.org/web/20120104012532/http://www.city-data.com:80/city/Wickenburg-Arizona.html;18.12.2016 22:41;263;2012;http://www.city-data.com/city/Wickenburg-Arizona.html;WICKENBURG, AZ;WICKENBURG, AZ2012
6376;25.5;52.7;40928;204303;688;2.1;93.4;13.4;0.5;0.2;1.2;11.5 ;http://web.archive.org/web/20130128204234/http://www.city-data.com/city/Wickenburg-Arizona.html;18.12.2016 22:41;264;2013;http://www.city-data.com/city/Wickenburg-Arizona.html;WICKENBURG, AZ;WICKENBURG, AZ2013
6376;25.5;52.7;40928;204303;688;2.1;93.4;13.4;0.5;0.2;1.2;11.5 ;http://web.archive.org/web/20130724091243/http://www.city-data.com:80/city/Wickenburg-Arizona.html;18.12.2016 22:41;265;2014;http://www.city-data.com/city/Wickenburg-Arizona.html;WICKENBURG, AZ;WICKENBURG, AZ2014
6604;29.9;52.7;36459;144265;617;2.1;93.5;13.4;0.5;0.2;1.2;11.5 ;http://web.archive.org/web/20150219054653/http://www.city-data.com:80/city/Wickenburg-Arizona.html;18.12.2016 22:41;266;2015;http://www.city-data.com/city/Wickenburg-Arizona.html;WICKENBURG, AZ;WICKENBURG, AZ2015
2814;0.0;35.8;66994;225511;968;3.7;98.1;0.6;0.3;0.0;0.0;3.17 ;http://web.archive.org/web/20120217145607/http://www.city-data.com:80/city/Windsor-Wisconsin.html;18.12.2016 22:41;267;2012;http://www.city-data.com/city/Windsor-Wisconsin.html;WINDSOR, WI;WINDSOR, WI2012
3573;41.1;38.3;66994;225511;968;3.7;98.1;2.3;2.0;1.7;0.1;3.17 ;http://web.archive.org/web/20130202002848/http://www.city-data.com/city/Windsor-Wisconsin.html;18.12.2016 22:41;268;2013;http://www.city-data.com/city/Windsor-Wisconsin.html;WINDSOR, WI;WINDSOR, WI2013
3573;41.1;38.3;70055;226312;864;6.1;98.7;2.3;2.0;1.7;0.1;3.17 ;http://web.archive.org/web/20131219060943/http://www.city-data.com:80/city/Windsor-Wisconsin.html;18.12.2016 22:41;269;2014;http://www.city-data.com/city/Windsor-Wisconsin.html;WINDSOR, WI;WINDSOR, WI2014
3573;41.1;38.3;72061;222858;879;4.9;98.5;2.3;2.0;1.7;0.1;3.17 ;http://web.archive.org/web/20150111070831/http://www.city-data.com:80/city/Windsor-Wisconsin.html;18.12.2016 22:41;270;2015;http://www.city-data.com/city/Windsor-Wisconsin.html;WINDSOR, WI;WINDSOR, WI2015
763;0.0;31.9;51432;161600;;6.4;84.0;39.2;0.7;0.1;1.7;#WERT!;http://web.archive.org/web/20150623014411/http://www.city-data.com:80/city/Wittmann-Arizona.html;18.12.2016 22:41;271;2015;http://www.city-data.com/city/Wittmann-Arizona.html;WITTMANN, AZ;WITTMANN, AZ2015
